,id,latitude,longitude,price,area,floor,floors_total,link,address_clean
250,323072887,55.843555,37.579672,28350,12.6,1,5,https://www.cian.ru/rent/commercial/323072887/,"Москва, СВАО, р-н Марфино, м. Окружная, Гостиничная улица, 5"
251,319543124,55.767793,37.528972,33000,3214.0,1,3,https://www.cian.ru/rent/commercial/319543124/,"Москва, САО, р-н Хорошевский, м. Беговая, 1-я Магистральная улица, 11/2С1"
252,322561188,55.70598,37.632143,2985,66.9,1,25,https://www.cian.ru/rent/commercial/322561188/,"Москва, ЮАО, р-н Даниловский, м. Тульская, Форст ЖК"
253,323407835,55.983479,37.17111,27600,23.0,1,3,https://www.cian.ru/rent/commercial/323407835/,"Москва, ЗелАО, р-н Силино, м. Зеленоград — Крюково, Зеленоград, улица Панфилова, 28"
254,323340627,55.771899,37.597576,180000,40.0,1,7,https://www.cian.ru/rent/commercial/323340627/,"Москва, ЦАО, р-н Тверской, м. Маяковская, 4-я Тверская-Ямская улица, 7"
255,323090221,55.558585,37.503316,100000,49.3,1,16,https://www.cian.ru/rent/commercial/323090221/,"Москва, НАО (Новомосковский), м. Потапово, Сосенское поселение, проспект Куприна, 1к2"
256,323387001,55.742103,37.765085,100000,45.0,1,25,https://www.cian.ru/rent/commercial/323387001/,"Москва, ВАО, р-н Перово, м. Перово, улица Плеханова, 22"
257,322766947,55.612207,37.412415,55000,9.0,1,1,https://www.cian.ru/rent/commercial/322766947/,"Москва, НАО (Новомосковский), м. Саларьево, улица Трехполье, 6к1"
258,323473653,55.758676,37.653837,79000,22.5,1,5,https://www.cian.ru/rent/commercial/323473653/,"Москва, ЦАО, р-н Басманный, м. Курская, Яковоапостольский переулок, 7С1"
259,289827761,55.813314,37.424686,350000,64.6,1,12,https://www.cian.ru/rent/commercial/289827761/,"Москва, СЗАО, р-н Покровское-Стрешнево, м. Спартак, Клубный Город на Реке Примавера ЖК, Вивальди кв-л"
260,320147714,55.852501,37.68032,320000,69.2,1,14,https://www.cian.ru/rent/commercial/320147714/,"Москва, СВАО, р-н Ярославский, м. Свиблово, Ярославское шоссе, 2К2"
261,306458650,55.52784,37.459532,60000,67.5,1,2,https://www.cian.ru/rent/commercial/306458650/,"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Подсобного хозяйства Воскресенское, улица Юрьев Сад, 1А"
262,322648267,55.744333,37.49524,90000,60.0,1,12,https://www.cian.ru/rent/commercial/322648267/,"Москва, ЗАО, р-н Филевский парк, м. Багратионовская, Сеславинская улица, 16К2"
263,321949509,55.59427,37.44011,75000,22.0,1,19,https://www.cian.ru/rent/commercial/321949509/,"Москва, НАО (Новомосковский), м. Прокшино, улица Братьев Гранат, 8"
